time,rho00re,rho00im,rho01re,rho01im,rho02re,rho02im,rho03re,rho03im,rho10re,rho10im,rho11re,rho11im,rho12re,rho12im,rho13re,rho13im,rho20re,rho20im,rho21re,rho21im,rho22re,rho22im,rho23re,rho23im,rho30re,rho30im,rho31re,rho31im,rho32re,rho32im,rho33re,rho33im,totalpop
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.001,0.999463858062,0,-0.0127502297593,-0.0159822447749,0.00448446494776,0.00955113751111,0,0,-0.0127502297593,0.0159822447749,0.000422965856791,0,-0.000212618011166,-5.09946043869e-05,0,0,0.00448446494776,-0.00955113751111,-0.000212618011166,5.09946043869e-05,0.000113175504795,0,0,0,0,0,0,0,0,0,0,0,0.999999999424
0.002,0.998599120773,0,-0.0301742335904,-0.00752353919958,0.0144679795558,0.0120377898464,0,0,-0.0301742335904,0.00752353919958,0.00102122110191,0,-0.000556365218127,-0.000275224044003,0,0,0.0144679795558,-0.0120377898464,-0.000556365218127,0.000275224044003,0.000379656975287,0,0,0,0,0,0,0,0,0,0,0,0.99999999885
0.003,0.998461553779,0,-0.0261144182299,0.00941326567585,0.0220818416091,0.00605257894841,0,0,-0.0261144182299,-0.00941326567585,0.000914497315435,0,-0.000587179171437,-0.000459852028544,0,0,0.0220818416091,-0.00605257894841,-0.000587179171437,0.000459852028544,0.000623947186399,0,0,0,0,0,0,0,0,0,0,0,0.999999998281
0.004,0.998914728262,0,-0.0112089122256,0.00897640800538,0.0217708898368,-0.00259017283763,0,0,-0.0112089122256,-0.00897640800538,0.000388075991093,0,-0.000312564823851,-0.000351408733068,0,0,0.0217708898368,0.00259017283763,-0.000312564823851,0.000351408733068,0.000697193465427,0,0,0,0,0,0,0,0,0,0,0,0.999999997719
0.005,0.999156462701,0,-0.00916969047067,-0.00315761678694,0.0156072299588,-0.00643487791719,0,0,-0.00916969047067,0.00315761678694,0.000238643611619,0,-6.52537997445e-05,-8.52566897166e-05,0,0,0.0156072299588,0.00643487791719,-6.52537997445e-05,8.52566897166e-05,0.000604890854265,0,0,0,0,0,0,0,0,0,0,0,0.999999997167
0.006,0.999008355093,0,-0.0183454352812,-0.00662605478227,0.0104313874883,-0.00392325407748,0,0,-0.0183454352812,0.00662605478227,0.000508466949772,0,-6.2066029965e-06,4.63471357431e-05,0,0,0.0104313874883,0.00392325407748,-6.2066029965e-06,-4.63471357431e-05,0.000483174582787,0,0,0,0,0,0,0,0,0,0,0,0.999999996625
0.007,0.998879017325,0,-0.0223171608682,-0.000232886565558,0.0100463379438,0.000358634240754,0,0,-0.0223171608682,0.000232886565558,0.000678308962258,0,-3.68686868408e-05,1.79864273811e-05,0,0,0.0100463379438,-0.000358634240754,-3.68686868408e-05,-1.79864273811e-05,0.000442669807874,0,0,0,0,0,0,0,0,0,0,0,0.999999996095
0.008,0.99894598947,0,-0.0182180482553,0.00352713928477,0.0124884379204,0.00212652571865,0,0,-0.0182180482553,-0.00352713928477,0.000578672530916,0,-6.2667530706e-05,9.38040735796e-06,0,0,0.0124884379204,-0.00212652571865,-6.2667530706e-05,-9.38040735796e-06,0.000475333574448,0,0,0,0,0,0,0,0,0,0,0,0.999999995576
0.009,0.999021467873,0,-0.0150330851903,0.00107742374137,0.0142797469628,0.0013677683571,0,0,-0.0150330851903,-0.00107742374137,0.000466328191296,0,-0.000103632498308,9.16743278822e-05,0,0,0.0142797469628,-0.0013677683571,-0.000103632498308,-9.16743278822e-05,0.000512199002429,0,0,0,0,0,0,0,0,0,0,0,0.999999995066
